intervalSize      & Ep2_errorFun_full    & Ep4_errorFun_full    & Ep6_errorFun_full    & Ep8_errorFun_full    & Ep2_errorFun_QB    & Ep4_errorFun_QB    & Ep6_errorFun_QB    & Ep8_errorFun_QB    & Ep2_errorFun_Q    & Ep4_errorFun_Q    & Ep6_errorFun_Q    & Ep8_errorFun_Q        
2.192771e+00      & 1.795793e-01         & 7.811413e-02         & 3.516241e-02         & 1.615597e-02         & 1.795793e-01       & 1.324548e-01       & 1.347193e-01       & 1.347782e-01       & 1.795793e-01      & 2.480144e-01      & 2.447315e-01      & 2.447312e-01     
2.240964e+00      & 1.903934e-01         & 8.651368e-02         & 4.079554e-02         & 1.955713e-02         & 1.903934e-01       & 1.408655e-01       & 1.434152e-01       & 1.434823e-01       & 1.903934e-01      & 2.641056e-01      & 2.605111e-01      & 2.605061e-01     
2.289157e+00      & 2.015634e-01         & 9.557686e-02         & 4.716161e-02         & 2.357221e-02         & 2.015634e-01       & 1.495555e-01       & 1.524188e-01       & 1.524951e-01       & 2.015634e-01      & 2.808348e-01      & 2.769062e-01      & 2.768953e-01     
2.337349e+00      & 2.130891e-01         & 1.053365e-01         & 5.433408e-02         & 2.829393e-02         & 2.130891e-01       & 1.585233e-01       & 1.617307e-01       & 1.618170e-01       & 2.130891e-01      & 2.982096e-01      & 2.939234e-01      & 2.939050e-01     
2.385542e+00      & 2.249701e-01         & 1.158258e-01         & 6.239157e-02         & 3.382624e-02         & 2.249701e-01       & 1.677672e-01       & 1.713515e-01       & 1.714489e-01       & 2.249701e-01      & 3.162373e-01      & 3.115689e-01      & 3.115413e-01     
2.433735e+00      & 2.372058e-01         & 1.270788e-01         & 7.141804e-02         & 4.028543e-02         & 2.372058e-01       & 1.772855e-01       & 1.812815e-01       & 1.813911e-01       & 2.372058e-01      & 3.349253e-01      & 3.298487e-01      & 3.298098e-01     
2.481928e+00      & 2.497956e-01         & 1.391298e-01         & 8.150298e-02         & 4.780121e-02         & 2.497956e-01       & 1.870760e-01       & 1.915212e-01       & 1.916441e-01       & 2.497956e-01      & 3.542804e-01      & 3.487684e-01      & 3.487159e-01     
2.530120e+00      & 2.627384e-01         & 1.520135e-01         & 9.274164e-02         & 5.651785e-02         & 2.627384e-01       & 1.971365e-01       & 2.020709e-01       & 2.022082e-01       & 2.627384e-01      & 3.743094e-01      & 3.683337e-01      & 3.682649e-01     
2.578313e+00      & 2.760334e-01         & 1.657654e-01         & 1.052352e-01         & 6.659548e-02         & 2.760334e-01       & 2.074648e-01       & 2.129308e-01       & 2.130839e-01       & 2.760334e-01      & 3.950188e-01      & 3.885498e-01      & 3.884615e-01     
2.626506e+00      & 2.896793e-01         & 1.804212e-01         & 1.190910e-01         & 7.821135e-02         & 2.896793e-01       & 2.180583e-01       & 2.241011e-01       & 2.242714e-01       & 2.896793e-01      & 4.164149e-01      & 4.094218e-01      & 4.093105e-01     
2.674699e+00      & 3.036748e-01         & 1.960171e-01         & 1.344228e-01         & 9.156123e-02         & 3.036748e-01       & 2.289145e-01       & 2.355822e-01       & 2.357710e-01       & 3.036748e-01      & 4.385040e-01      & 4.309545e-01      & 4.308162e-01     
2.722892e+00      & 3.180186e-01         & 2.125897e-01         & 1.513507e-01         & 1.068609e-01         & 3.180186e-01       & 2.400307e-01       & 2.473741e-01       & 2.475830e-01       & 3.180186e-01      & 4.612921e-01      & 4.531525e-01      & 4.529828e-01     
2.771084e+00      & 3.327091e-01         & 2.301761e-01         & 1.700018e-01         & 1.243475e-01         & 3.327091e-01       & 2.514041e-01       & 2.594772e-01       & 2.597079e-01       & 3.327091e-01      & 4.847850e-01      & 4.760205e-01      & 4.758141e-01     
2.819277e+00      & 3.477449e-01         & 2.488137e-01         & 1.905101e-01         & 1.442815e-01         & 3.477449e-01       & 2.630319e-01       & 2.718918e-01       & 2.721460e-01       & 3.477449e-01      & 5.089885e-01      & 4.995626e-01      & 4.993139e-01     
2.867470e+00      & 3.631242e-01         & 2.685404e-01         & 2.130167e-01         & 1.669482e-01         & 3.631242e-01       & 2.749109e-01       & 2.846181e-01       & 2.848977e-01       & 3.631242e-01      & 5.339081e-01      & 5.237831e-01      & 5.234856e-01     
2.915663e+00      & 3.788453e-01         & 2.893944e-01         & 2.376701e-01         & 1.926592e-01         & 3.788453e-01       & 2.870384e-01       & 2.976564e-01       & 2.979635e-01       & 3.788453e-01      & 5.595492e-01      & 5.486859e-01      & 5.483325e-01     
2.963855e+00      & 3.949064e-01         & 3.114143e-01         & 2.646265e-01         & 2.217548e-01         & 3.949064e-01       & 2.994110e-01       & 3.110072e-01       & 3.113439e-01       & 3.949064e-01      & 5.859172e-01      & 5.742749e-01      & 5.738576e-01     
3.012048e+00      & 4.113056e-01         & 3.346391e-01         & 2.940499e-01         & 2.546057e-01         & 4.113056e-01       & 3.120259e-01       & 3.246710e-01       & 3.250397e-01       & 4.113056e-01      & 6.130174e-01      & 6.005539e-01      & 6.000637e-01     
3.060241e+00      & 4.280410e-01         & 3.591081e-01         & 3.261120e-01         & 2.916150e-01         & 4.280410e-01       & 3.248797e-01       & 3.386482e-01       & 3.390515e-01       & 4.280410e-01      & 6.408547e-01      & 6.275264e-01      & 6.269535e-01     
3.108434e+00      & 4.451107e-01         & 3.848609e-01         & 3.609932e-01         & 3.332205e-01         & 4.451107e-01       & 3.379693e-01       & 3.529395e-01       & 3.533802e-01       & 4.451107e-01      & 6.694342e-01      & 6.551959e-01      & 6.545294e-01     
3.156627e+00      & 4.625126e-01         & 4.119375e-01         & 3.988820e-01         & 3.798966e-01         & 4.625126e-01       & 3.512916e-01       & 3.675455e-01       & 3.680267e-01       & 4.625126e-01      & 6.987608e-01      & 6.835658e-01      & 6.827936e-01     
3.204819e+00      & 4.802448e-01         & 4.403782e-01         & 4.399758e-01         & 4.321569e-01         & 4.802448e-01       & 3.648431e-01       & 3.824672e-01       & 3.829923e-01       & 4.802448e-01      & 7.288394e-01      & 7.126393e-01      & 7.117481e-01     
3.253012e+00      & 4.983050e-01         & 4.702237e-01         & 4.844805e-01         & 4.905568e-01         & 4.983050e-01       & 3.786208e-01       & 3.977054e-01       & 3.982782e-01       & 4.983050e-01      & 7.596746e-01      & 7.424197e-01      & 7.413948e-01     
3.301205e+00      & 5.166912e-01         & 5.015150e-01         & 5.326115e-01         & 5.556955e-01         & 5.166912e-01       & 3.926213e-01       & 4.132611e-01       & 4.138858e-01       & 5.166912e-01      & 7.912711e-01      & 7.729100e-01      & 7.717353e-01     
3.349398e+00      & 5.354013e-01         & 5.342934e-01         & 5.845934e-01         & 6.282190e-01         & 5.354013e-01       & 4.068414e-01       & 4.291354e-01       & 4.298167e-01       & 5.354013e-01      & 8.236336e-01      & 8.041132e-01      & 8.027710e-01     
